date,avgtemp,humidity,wind_speed,meanpressure
2013-01-01,10.0,84.5,0.0,10.156.666.666.666.600
2013-01-02,7.4,92.0,2.98,1017.8
2013-01-03,7.166.666.666.666.660,87.0,4.633.333.333.333.330,10.186.666.666.666.600
2013-01-04,8.666.666.666.666.660,7.133.333.333.333.330,12.333.333.333.333.300,10.171.666.666.666.600
2013-01-05,6.0,8.683.333.333.333.330,36.999.999.999.999.900,1016.5
2013-01-06,7.0,82.8,1.48,1018.0
2013-01-07,7.0,78.6,6.3,1020.0
2013-01-08,8.857.142.857.142.850,63.714.285.714.285.700,7.142.857.142.857.140,10.187.142.857.142.800
2013-01-09,14.0,51.25,12.5,1017.0
2013-01-10,11.0,62.0,73.999.999.999.999.900,10.156.666.666.666.600
2013-01-11,15.714.285.714.285.700,51.285.714.285.714.200,10.571.428.571.428.500,10.161.428.571.428.500
2013-01-12,14.0,74.0,13.228.571.428.571.400,10.155.714.285.714.200
2013-01-13,15.833.333.333.333.300,7.516.666.666.666.660,4.633.333.333.333.330,10.133.333.333.333.300
2013-01-14,12.833.333.333.333.300,8.816.666.666.666.660,6.166.666.666.666.660,10.151.666.666.666.600
2013-01-15,14.714.285.714.285.700,7.185.714.285.714.280,5.285.714.285.714.280,10.158.571.428.571.400
2013-01-16,13.833.333.333.333.300,8.666.666.666.666.660,0.0,10.166.666.666.666.600
2013-01-17,16.5,8.083.333.333.333.330,5.250.000.000.000.000,10.158.333.333.333.300
2013-01-18,13.833.333.333.333.300,9.216.666.666.666.660,8.950.000.000.000.000,1014.5
2013-01-19,12.5,7.666.666.666.666.660,5.883.333.333.333.330,10.216.666.666.666.600
2013-01-20,11.285.714.285.714.200,7.528.571.428.571.420,8.471.428.571.428.570,10.202.857.142.857.100
2013-01-21,11.2,77.0,2.22,1021.0
2013-01-22,9.5,7.966.666.666.666.660,30.833.333.333.333.300,1021.8
2013-01-23,14.0,60.166.666.666.666.600,4.016.666.666.666.660,1020.5
2013-01-24,13.833.333.333.333.300,60.666.666.666.666.600,6.166.666.666.666.660,1020.5
2013-01-25,12.25,67.0,5.55,1020.75
2013-01-26,12.666.666.666.666.600,6.416.666.666.666.660,6.800.000.000.000.000,10.196.666.666.666.600
2013-01-27,12.857.142.857.142.800,6.557.142.857.142.850,5.557.142.857.142.850,10.181.428.571.428.500
2013-01-28,14.833.333.333.333.300,56.0,36.999.999.999.999.900,10.178.333.333.333.300
2013-01-29,14.125,65.5,3.2375,1.016.625
2013-01-30,14.714.285.714.285.700,7.042.857.142.857.140,10.571.428.571.428.500,10.178.571.428.571.400
2013-01-31,16.2,65.6,2.96,1018.4
2013-02-01,16.0,73.0,2.22,1016.0
2013-02-02,16.285.714.285.714.200,7.757.142.857.142.850,13.285.714.285.714.200,10.171.428.571.428.500
2013-02-03,18.0,6.557.142.857.142.850,18.571.428.571.428.500,10.152.857.142.857.100
2013-02-04,17.428.571.428.571.400,7.428.571.428.571.420,11.114.285.714.285.700,10.145.714.285.714.200
2013-02-05,16.625,92.375,9.725.000.000.000.000,1.016.375
2013-02-06,16.666.666.666.666.600,7.133.333.333.333.330,8.633.333.333.333.330,10.186.666.666.666.600
2013-02-07,15.6,59.4,10.74,1018.6
2013-02-08,14.0,7.042.857.142.857.140,9.257.142.857.142.850,10.171.428.571.428.500
2013-02-09,15.428.571.428.571.400,61.285.714.285.714.200,9.257.142.857.142.850,10.168.571.428.571.400
2013-02-10,15.25,71.5,34.749.999.999.999.900,1.017.125
2013-02-11,15.875,70.5,5.325,1016.5
2013-02-12,15.333.333.333.333.300,7.033.333.333.333.330,7.416.666.666.666.660,1017.5
2013-02-13,16.285.714.285.714.200,7.014.285.714.285.710,6.085.714.285.714.280,1016.0
2013-02-14,17.333.333.333.333.300,63.833.333.333.333.300,4.333.333.333.333.330,10.141.666.666.666.600
2013-02-15,19.166.666.666.666.600,6.533.333.333.333.330,10.183.333.333.333.300,10.116.666.666.666.600
2013-02-16,14.428.571.428.571.400,9.271.428.571.428.570,8.485.714.285.714.280,1008.0
2013-02-17,13.666.666.666.666.600,90.0,0.0,10.126.666.666.666.600
2013-02-18,15.6,78.4,12.220.000.000.000.000,1016.2
2013-02-19,15.857.142.857.142.800,82.0,5.814.285.714.285.710,10.157.142.857.142.800
2013-02-20,17.714.285.714.285.700,7.471.428.571.428.570,5.814.285.714.285.710,1017.0
2013-02-21,20.0,6.728.571.428.571.420,6.614.285.714.285.710,10.154.285.714.285.700
2013-02-22,20.5,65.625,10.875.000.000.000.000,1016.0
2013-02-23,17.428.571.428.571.400,7.485.714.285.714.280,9.257.142.857.142.850,1017.0
2013-02-24,16.857.142.857.142.800,7.885.714.285.714.280,7.400.000.000.000.000,10.188.571.428.571.400
2013-02-25,16.875,72.875,4.6375,1018.25
2013-02-26,17.857.142.857.142.800,70.0,17.587.500.000.000.000,10.151.428.571.428.500
2013-02-27,20.8,57.2,6.660.000.000.000.000,1015.2
2013-02-28,19.428.571.428.571.400,52.857.142.857.142.800,12.957.142.857.142.800,10.174.285.714.285.700
2013-03-01,17.333.333.333.333.300,49.333.333.333.333.300,24.066.666.666.666.600,10.163.333.333.333.300
2013-03-02,19.0,54.0,15.725,1016.25
2013-03-03,19.333.333.333.333.300,62.833.333.333.333.300,8.633.333.333.333.330,10.161.666.666.666.600
2013-03-04,17.6,71.0,55.600.000.000.000.000,1015.8
2013-03-05,20.875,61.875,41.625.000.000.000.000,1.016.375
2013-03-06,20.857.142.857.142.800,6.528.571.428.571.420,6.871.428.571.428.570,10.157.142.857.142.800
2013-03-07,23.428.571.428.571.400,57.142.857.142.857.100,8.728.571.428.571.420,10.152.857.142.857.100
2013-03-08,24.166.666.666.666.600,44.833.333.333.333.300,71.000.000.000.000.000,10.148.333.333.333.300
2013-03-09,25.428.571.428.571.400,49.714.285.714.285.700,5.285.714.285.714.280,10.092.857.142.857.100
2013-03-10,23.142.857.142.857.100,5.757.142.857.142.850,4.228.571.428.571.420,1008.0
2013-03-11,24.0,6.633.333.333.333.330,9.333.333.333.333.330,10.111.666.666.666.600
2013-03-12,23.5,62.5,4.933.333.333.333.330,1011.5
2013-03-13,21.5,70.5,5.55,1009.0
2013-03-14,22.333.333.333.333.300,61.166.666.666.666.600,12.033.333.333.333.300,10.131.666.666.666.600
2013-03-15,24.166.666.666.666.600,45.833.333.333.333.300,7.716.666.666.666.660,10.161.666.666.666.600
2013-03-16,20.333.333.333.333.300,6.766.666.666.666.660,36.999.999.999.999.900,10.161.666.666.666.600
2013-03-17,22.666.666.666.666.600,58.666.666.666.666.600,8.95,1015.0
2013-03-18,23.428.571.428.571.400,58.142.857.142.857.100,17.457.142.857.142.800,10.094.285.714.285.700
2013-03-19,22.5,7.366.666.666.666.660,10.483.333.333.333.300,1011.0
2013-03-20,29.166.666.666.666.600,36.333.333.333.333.300,6.800.000.000.000.000,1009.5
2013-03-21,23.833.333.333.333.300,58.5,10.5,10.083.333.333.333.300
2013-03-22,25.25,50.25,9.7125,1.006.375
2013-03-23,27.375,50.125,9.950.000.000.000.000,1.007.625
2013-03-24,27.0,48.75,10.8875,1010.25
2013-03-25,23.5,45.5,15.962.499.999.999.900,1.010.625
2013-03-26,24.142.857.142.857.100,4.457.142.857.142.850,12.957.142.857.142.800,10.088.571.428.571.400
2013-03-27,21.0,62.0,1.85,1009.0
2013-03-28,22.428.571.428.571.400,62.714.285.714.285.700,74.142.857.142.857.100,10.095.714.285.714.200
2013-03-29,21.25,70.375,5.550.000.000.000.000,1009.75
2013-03-30,23.5,54.75,11.112.499.999.999.900,1.008.625
2013-03-31,23.2,58.0,6.660.000.000.000.000,1008.6
2013-04-01,25.375,45.5,4.4,1008.5
2013-04-02,25.166.666.666.666.600,51.0,8.65,1009.5
2013-04-03,26.2,45.6,8.14,1009.0
2013-04-04,24.6,41.8,11.120.000.000.000.000,1007.8
2013-04-05,25.6,31.0,15.559.999.999.999.900,1007.0
2013-04-06,25.857.142.857.142.800,29.857.142.857.142.800,11.900.000.000.000.000,10.061.428.571.428.500
2013-04-07,29.142.857.142.857.100,23.285.714.285.714.200,10.314.285.714.285.700,1005.0
2013-04-08,28.714.285.714.285.700,33.857.142.857.142.800,5.3,1006.0
2013-04-09,30.166.666.666.666.600,30.5,8.65,10.053.333.333.333.300
2013-04-10,30.0,28.0,6.1,10.067.142.857.142.800
2013-04-11,30.0,24.2,7.780.000.000.000.000,1006.4
2013-04-12,28.857.142.857.142.800,3.257.142.857.142.850,6.342.857.142.857.140,10.075.714.285.714.200
2013-04-13,30.2,29.2,10.000.000.000.000.000,1008.4
2013-04-14,28.25,39.375,6.487.499.999.999.990,1007.0
2013-04-15,28.25,41.375,6.25,1.003.875
2013-04-16,32.125,24.625,10.424.999.999.999.900,1000.0
2013-04-17,29.2,24.2,6.659.999.999.999.990,1002.2
2013-04-18,30.285.714.285.714.200,30.285.714.285.714.200,4.757.142.857.142.850,10.028.571.428.571.400
2013-04-19,28.285.714.285.714.200,31.285.714.285.714.200,3.971.428.571.428.570,10.025.714.285.714.200
2013-04-20,30.625,29.0,7.6375,1.003.375
2013-04-21,27.666.666.666.666.600,38.666.666.666.666.600,13.883.333.333.333.300,10.068.333.333.333.300
2013-04-22,27.375,45.375,7.650.000.000.000.000,1010.0
2013-04-23,28.625,44.125,4.625.000.000.000.000,1.009.875
2013-04-24,30.285.714.285.714.200,41.714.285.714.285.700,21.142.857.142.857.100,10.085.714.285.714.200
2013-04-25,31.142.857.142.857.100,38.285.714.285.714.200,3.7,10.077.142.857.142.800
2013-04-26,29.875,45.875,6.7125,1.008.375
2013-04-27,31.142.857.142.857.100,31.428.571.428.571.400,13.485.714.285.714.200,1007.0
2013-04-28,30.571.428.571.428.500,28.0,12.971.428.571.428.500,10.054.285.714.285.700
2013-04-29,32.125,26.375,7.875,1.004.875
2013-04-30,31.142.857.142.857.100,32.0,7.928.571.428.571.420,10.048.571.428.571.400
2013-05-01,31.857.142.857.142.800,15.857.142.857.142.800,12.685.714.285.714.200,10.028.333.333.333.300
2013-05-02,29.833.333.333.333.300,22.166.666.666.666.600,11.433.333.333.333.300,1001.2
2013-05-03,28.571.428.571.428.500,31.571.428.571.428.500,9.0,9.994.285.714.285.710
2013-05-04,32.857.142.857.142.800,31.428.571.428.571.400,2.914.285.714.285.710,999.0
2013-05-05,32.625,31.125,3.0125,1.000.625
2013-05-06,32.75,39.25,3.7,1.001.625
2013-05-07,32.875,33.25,7.175.000.000.000.000,1002.0
2013-05-08,34.5,23.0,9.25,10.011.666.666.666.600
2013-05-09,34.285.714.285.714.200,26.0,8.985.714.285.714.280,10.008.571.428.571.400
2013-05-10,34.0,27.714.285.714.285.700,9.528.571.428.571.420,10.001.428.571.428.500
2013-05-11,30.75,30.375,148.125,999.875
2013-05-12,29.857.142.857.142.800,40.142.857.142.857.100,5.828.571.428.571.420,10.037.142.857.142.800
2013-05-13,31.714.285.714.285.700,34.0,39.714.285.714.285.700,10.035.714.285.714.200
2013-05-14,32.285.714.285.714.200,34.285.714.285.714.200,4.771.428.571.428.570,10.015.714.285.714.200
2013-05-15,33.0,33.0,32.375.000.000.000.000,9.998.571.428.571.420
2013-05-16,33.0,34.75,7.175.000.000.000.000,998.5
2013-05-17,32.833.333.333.333.300,28.166.666.666.666.600,9.866.666.666.666.660,10.003.333.333.333.300
2013-05-18,31.4,42.2,12.966.666.666.666.600,999.0
2013-05-19,35.333.333.333.333.300,22.333.333.333.333.300,15.749.999.999.999.900,9.996.666.666.666.660
2013-05-20,36.4,24.2,7.4,998.4
2013-05-21,36.0,19.0,11.371.428.571.428.500,9.986.666.666.666.660
2013-05-22,36.75,22.125,175.875,998.625
2013-05-23,37.5,23.333.333.333.333.300,13.566.666.666.666.600,9.971.666.666.666.660
2013-05-24,3.842.857.142.857.140,27.428.571.428.571.400,11.385.714.285.714.200,9.964.285.714.285.710
2013-05-25,38.714.285.714.285.700,22.428.571.428.571.400,10.314.285.714.285.700,9.981.428.571.428.570
2013-05-26,37.8,21.2,10.74,998.2
2013-05-27,35.857.142.857.142.800,31.571.428.571.428.500,872.857.142.857.143,9.991.428.571.428.570
2013-05-28,35.333.333.333.333.300,29.0,8.333.333.333.333.330,10.001.666.666.666.600
2013-05-29,34.142.857.142.857.100,27.857.142.857.142.800,5.557.142.857.142.850,9.994.285.714.285.710
2013-05-30,32.2,28.2,55.600.000.000.000.000,999.6
2013-05-31,33.625,40.125,10.6375,9.987.142.857.142.850
2013-06-01,32.0,54.0,134.375,998.75
2013-06-02,32.4,56.6,14.200.000.000.000.000,1001.0
2013-06-03,35.6,47.0,12.239.999.999.999.900,999.6
2013-06-04,35.857.142.857.142.800,4.257.142.857.142.850,5.028.571.428.571.420,9.998.571.428.571.420
2013-06-05,37.166.666.666.666.600,36.5,9.866.666.666.666.660,998.0
2013-06-06,31.285.714.285.714.200,61.714.285.714.285.700,10.042.857.142.857.100,9.972.857.142.857.140
2013-06-07,34.0,49.25,7.412.500.000.000.000,998.0
2013-06-08,34.2,57.4,13.34,997.0
2013-06-09,36.166.666.666.666.600,40.0,11.416.666.666.666.600,9.951.666.666.666.660
2013-06-10,36.625,42.75,8.100.000.000.000.000,995.125
2013-06-11,30.166.666.666.666.600,61.666.666.666.666.600,16.349.999.999.999.900,1000.0
2013-06-12,34.142.857.142.857.100,54.142.857.142.857.100,74.142.857.142.857.100,998.0
2013-06-13,29.833.333.333.333.300,6.866.666.666.666.660,9.866.666.666.666.660,9.986.666.666.666.660
2013-06-14,30.142.857.142.857.100,6.814.285.714.285.710,7.942.857.142.857.140,9.974.285.714.285.710
2013-06-15,30.714.285.714.285.700,65.0,1.322.857.142.857.140,9.978.571.428.571.420
2013-06-16,27.0,8.885.714.285.714.280,8.485.714.285.714.280,9.964.285.714.285.710
2013-06-17,26.875,87.375,8.3375,994.75
2013-06-18,28.4,83.6,5.18,996.4
2013-06-19,29.857.142.857.142.800,7.285.714.285.714.280,4.228.571.428.571.420,999.0
2013-06-20,33.0,52.714.285.714.285.700,4.771.428.571.428.570,9.971.666.666.666.660
2013-06-21,34.833.333.333.333.300,47.333.333.333.333.300,5.866.666.666.666.660,9.953.333.333.333.330
2013-06-22,35.6,39.4,10.74,996.2
2013-06-23,35.166.666.666.666.600,53.0,8.350.000.000.000.000,9.956.666.666.666.660
2013-06-24,33.142.857.142.857.100,55.0,1.322.857.142.857.140,9.962.857.142.857.140
2013-06-25,30.571.428.571.428.500,7.042.857.142.857.140,11.114.285.714.285.700,9.991.666.666.666.660
2013-06-26,30.666.666.666.666.600,71.5,6.483.333.333.333.330,999.0
2013-06-27,31.428.571.428.571.400,61.857.142.857.142.800,7.957.142.857.142.850,9.967.142.857.142.850
2013-06-28,31.5,64.25,8.8125,996.0
2013-06-29,33.25,57.0,13.875,995.25
2013-06-30,32.833.333.333.333.300,52.166.666.666.666.600,10.5,9.971.666.666.666.660
2013-07-01,33.857.142.857.142.800,54.0,8.728.571.428.571.420,9.964.285.714.285.710
2013-07-02,33.142.857.142.857.100,58.285.714.285.714.200,9.799.999.999.999.990,996.0
2013-07-03,31.571.428.571.428.500,70.0,6.357.142.857.142.850,9.975.714.285.714.280
2013-07-04,32.375,67.5,9.25,997.0
2013-07-05,32.8,62.2,12.959.999.999.999.900,997.8
2013-07-06,31.0,7.314.285.714.285.710,1.137.142.857.142.850,10.005.714.285.714.200
2013-07-07,31.166.666.666.666.600,7.733.333.333.333.330,71.000.000.000.000.000,10.001.666.666.666.600
2013-07-08,29.833.333.333.333.300,7.516.666.666.666.660,6.483.333.333.333.330,997.5
2013-07-09,29.0,7.883.333.333.333.330,8.016.666.666.666.660,9.968.333.333.333.330
2013-07-10,29.75,75.375,6.4875,995.75
2013-07-11,32.5,65.5,7.116.666.666.666.660,9.973.333.333.333.330
2013-07-12,28.875,86.625,5.562.500.000.000.000,1000.0
2013-07-13,31.75,70.25,12.0625,998.875
2013-07-14,30.75,71.625,4.8125,997.375
2013-07-15,31.75,73.25,13.537.500.000.000.000,998.375
2013-07-16,29.875,83.875,9.0,999.0
2013-07-17,31.125,78.375,8.65,998.0
2013-07-18,31.75,76.0,5.550.000.000.000.000,995.0
2013-07-19,30.5,73.5,9.266.666.666.666.660,9.953.333.333.333.330
2013-07-20,26.833.333.333.333.300,9.066.666.666.666.660,4.933.333.333.333.330,9.991.666.666.666.660
2013-07-21,28.2,88.0,22.399.999.999.999.900,996.4
2013-07-22,29.5,8.033.333.333.333.330,4.333.333.333.333.330,9.968.333.333.333.330
2013-07-23,31.857.142.857.142.800,7.071.428.571.428.570,39.714.285.714.285.700,998.0
2013-07-24,29.714.285.714.285.700,8.414.285.714.285.710,3.971.428.571.428.570,9.971.428.571.428.570
2013-07-25,28.333.333.333.333.300,84.5,8.016.666.666.666.660,9.951.666.666.666.660
2013-07-26,30.0,7.385.714.285.714.280,5.571.428.571.428.570,9.954.285.714.285.710
2013-07-27,30.142.857.142.857.100,79.0,4.228.571.428.571.420,9.972.857.142.857.140
2013-07-28,32.285.714.285.714.200,6.742.857.142.857.140,6.085.714.285.714.280,9.981.428.571.428.570
2013-07-29,31.0,7.742.857.142.857.140,4.771.428.571.428.570,9.971.428.571.428.570
2013-07-30,30.5,7.566.666.666.666.660,8.016.666.666.666.660,996.5
2013-07-31,28.833.333.333.333.300,78.5,9.866.666.666.666.660,9.966.666.666.666.660
2013-08-01,30.0,73.5,5.550.000.000.000.000,998.0
2013-08-02,31.571.428.571.428.500,6.642.857.142.857.140,11.114.285.714.285.700,9.994.285.714.285.710
2013-08-03,32.5,62.333.333.333.333.300,10.816.666.666.666.600,10.008.333.333.333.300
2013-08-04,32.5,62.5,5.1,993.25
2013-08-05,29.5,77.0,6.783.333.333.333.330,1001.0
2013-08-06,27.166.666.666.666.600,9.066.666.666.666.660,4.016.666.666.666.660,10.021.666.666.666.600
2013-08-07,28.375,85.25,3.25,1.001.875
2013-08-08,28.5,84.0,6.166.666.666.666.660,1000.5
2013-08-09,27.166.666.666.666.600,87.5,3.716.666.666.666.660,1001.0
2013-08-10,29.428.571.428.571.400,7.985.714.285.714.280,61.000.000.000.000.000,10.003.333.333.333.300
2013-08-11,30.0,7.683.333.333.333.330,6.800.000.000.000.000,10.011.666.666.666.600
2013-08-12,29.5,81.5,8.350.000.000.000.000,1001.0
2013-08-13,30.75,72.0,11.125,999.25
2013-08-14,29.666.666.666.666.600,7.433.333.333.333.330,9.866.666.666.666.660,9.998.333.333.333.330
2013-08-15,27.714.285.714.285.700,85.0,8.2,10.017.142.857.142.800
2013-08-16,26.6,92.0,4.46,1000.8
2013-08-17,27.428.571.428.571.400,91.0,14.285.714.285.714.200,9.994.285.714.285.710
2013-08-18,28.333.333.333.333.300,8.383.333.333.333.330,12.333.333.333.333.300,10.001.666.666.666.600
2013-08-19,28.166.666.666.666.600,8.466.666.666.666.660,5.550.000.000.000.000,1000.5
2013-08-20,27.375,88.5,5.325,999.0
2013-08-21,28.333.333.333.333.300,8.116.666.666.666.660,10.314.285.714.285.700,9.992.857.142.857.140
2013-08-22,29.166.666.666.666.600,7.483.333.333.333.330,6.483.333.333.333.330,10.011.666.666.666.600
2013-08-23,31.285.714.285.714.200,7.314.285.714.285.710,2.642.857.142.857.140,10.014.285.714.285.700
2013-08-24,32.0,71.25,18.525,10.003.333.333.333.300
2013-08-25,29.0,90.75,925,998.75
2013-08-26,32.0,69.875,6.475,9.978.571.428.571.420
2013-08-27,32.142.857.142.857.100,57.285.714.285.714.200,17.071.428.571.428.500,9.998.571.428.571.420
2013-08-28,30.142.857.142.857.100,60.714.285.714.285.700,11.642.857.142.857.100,10.037.142.857.142.800
2013-08-29,31.5,57.0,9.275,1003.25
2013-08-30,29.166.666.666.666.600,73.0,3.1,1003.5
2013-08-31,29.0,71.75,4.65,1003.25
2013-09-01,30.0,65.2,11.48,1003.2
2013-09-02,31.857.142.857.142.800,50.857.142.857.142.800,15.342.857.142.857.100,10.037.142.857.142.800
2013-09-03,32.75,45.5,14.799.999.999.999.900,1001.5
2013-09-04,31.714.285.714.285.700,48.0,14.542.857.142.857.100,10.021.666.666.666.600
2013-09-05,31.666.666.666.666.600,46.0,13.566.666.666.666.600,1001.5
2013-09-06,30.571.428.571.428.500,55.714.285.714.285.700,10.042.857.142.857.100,10.034.285.714.285.700
2013-09-07,30.833.333.333.333.300,51.833.333.333.333.300,6.783.333.333.333.330,10.041.666.666.666.600
2013-09-08,28.0,71.75,2.325,1007.25
2013-09-09,31.0,57.5,42.22,1007.0
2013-09-10,29.666.666.666.666.600,6.633.333.333.333.330,36.999.999.999.999.900,10.053.333.333.333.300
2013-09-11,30.857.142.857.142.800,61.142.857.142.857.100,3.971.428.571.428.570,10.055.714.285.714.200
2013-09-12,31.166.666.666.666.600,60.333.333.333.333.300,27.833.333.333.333.300,10.081.666.666.666.600
2013-09-13,31.142.857.142.857.100,6.714.285.714.285.710,31.714.285.714.285.700,10.071.428.571.428.500
2013-09-14,30.5,67.0,27.833.333.333.333.300,10.038.333.333.333.300
2013-09-15,31.625,56.375,3.9375,1.001.375
2013-09-16,29.666.666.666.666.600,60.0,7.100.000.000.000.000,10.023.333.333.333.300
2013-09-17,29.25,56.5,3.475,1.002.875
2013-09-18,29.142.857.142.857.100,5.857.142.857.142.850,5.557.142.857.142.850,10.031.428.571.428.500
2013-09-19,29.8,61.6,2.96,1001.8
2013-09-20,28.666.666.666.666.600,70.0,9.583.333.333.333.330,1003.0
2013-09-21,25.2,89.0,5.18,1003.0
2013-09-22,28.333.333.333.333.300,7.966.666.666.666.660,30.833.333.333.333.300,10.016.666.666.666.600
2013-09-23,30.285.714.285.714.200,68.0,4.5,1001.0
2013-09-24,30.75,65.75,57.875.000.000.000.000,1002.75
2013-09-25,28.571.428.571.428.500,75.0,6.614.285.714.285.710,10.054.285.714.285.700
2013-09-26,28.2,78.8,04.08,1006.6
2013-09-27,29.0,71.25,74.125.000.000.000.000,1.005.625
2013-09-28,30.0,6.733.333.333.333.330,12.333.333.333.333.300,10.053.333.333.333.300
2013-09-29,28.142.857.142.857.100,7.985.714.285.714.280,5.557.142.857.142.850,10.038.571.428.571.400
2013-09-30,26.857.142.857.142.800,8.457.142.857.142.850,4.228.571.428.571.420,10.047.142.857.142.800
2013-10-01,28.285.714.285.714.200,6.871.428.571.428.570,6.371.428.571.428.570,10.077.142.857.142.800
2013-10-02,29.2,61.4,7.42,1010.0
2013-10-03,28.6,59.0,7.4,1008.6
2013-10-04,24.833.333.333.333.300,8.433.333.333.333.330,6.783.333.333.333.330,1007.5
2013-10-05,28.5,69.0,2.0875,1.004.125
2013-10-06,29.75,66.5,1.85,1005.25
2013-10-07,29.714.285.714.285.700,6.657.142.857.142.850,15.857.142.857.142.800,10.088.571.428.571.400
2013-10-08,29.2,69.4,0.0,1009.8
2013-10-09,30.833.333.333.333.300,65.5,5.566.666.666.666.660,10.103.333.333.333.300
2013-10-10,29.428.571.428.571.400,6.628.571.428.571.420,39.714.285.714.285.700,10.108.571.428.571.400
2013-10-11,23.857.142.857.142.800,8.985.714.285.714.280,4.242.857.142.857.140,10.105.714.285.714.200
2013-10-12,26.142.857.142.857.100,8.257.142.857.142.850,2.914.285.714.285.710,10.082.857.142.857.100
2013-10-13,27.166.666.666.666.600,8.433.333.333.333.330,6.166.666.666.666.660,10.076.666.666.666.600
2013-10-14,27.714.285.714.285.700,7.485.714.285.714.280,5.557.142.857.142.850,1007.0
2013-10-15,25.857.142.857.142.800,7.642.857.142.857.140,36.999.999.999.999.900,10.091.428.571.428.500
2013-10-16,26.428.571.428.571.400,75.0,0.0,1009.0
2013-10-17,26.857.142.857.142.800,7.671.428.571.428.570,10.571.428.571.428.500,10.104.285.714.285.700
2013-10-18,26.333.333.333.333.300,7.316.666.666.666.660,0.0,1010.5
2013-10-19,24.571.428.571.428.500,6.957.142.857.142.850,21.142.857.142.857.100,10.115.714.285.714.200
2013-10-20,24.333.333.333.333.300,6.783.333.333.333.330,1.55,10.106.666.666.666.600
2013-10-21,24.875,63.625,13.875.000.000.000.000,1.009.875
2013-10-22,27.8,53.6,0.0,1011.0
2013-10-23,25.0,67.5,1.1625,1.013.625
2013-10-24,23.857.142.857.142.800,7.314.285.714.285.710,10.571.428.571.428.500,10.132.857.142.857.100
2013-10-25,22.8,75.8,1.86,1011.0
2013-10-26,23.0,78.2,0.74,1011.2
2013-10-27,22.875,66.875,25.500.000.000.000.000,1.010.625
2013-10-28,22.666.666.666.666.600,63.166.666.666.666.600,4.933.333.333.333.330,1010.0
2013-10-29,23.0,62.714.285.714.285.700,3.971.428.571.428.570,10.111.428.571.428.500
